,Total Pasien Isolasi
2020-12-01,4.849
2020-12-02,4.8660000000000005
2020-12-03,4.908
2020-12-04,4.985
2020-12-05,4.96
2020-12-06,4.979
2020-12-07,5.0089999999999995
2020-12-08,5.007
2020-12-09,4.965
2020-12-10,5.0089999999999995
2020-12-11,5.09
2020-12-12,5.111000000000001
2020-12-13,5.185
2020-12-14,5.206
2020-12-15,5.303
2020-12-16,5.449
2020-12-17,5.4910000000000005
2020-12-18,5.486000000000001
2020-12-19,5.532
2020-12-20,5.691
2020-12-21,5.725
2020-12-22,5.784
2020-12-23,5.87
2020-12-24,5.854
2020-12-25,5.89
2020-12-26,5.915
2020-12-27,6.0760000000000005
2020-12-28,6.0729999999999995
2020-12-29,6.087000000000001
2020-12-30,6.0360000000000005
2020-12-31,6.1739999999999995
2021-01-01,6.303
2021-01-02,6.33
2021-01-03,6.385
2021-01-04,6.41
2021-01-05,6.388999999999999
2021-01-06,6.432
2021-01-07,6.506
2021-01-08,6.547999999999999
2021-01-09,6.466
2021-01-10,6.501
2021-01-11,6.601
2021-01-12,6.6770000000000005
2021-01-13,6.644
2021-01-14,6.792000000000001
2021-01-15,6.773
2021-01-16,6.751
2021-01-17,6.816
2021-01-18,6.852
2021-01-19,6.869
2021-01-20,6.8260000000000005
2021-01-21,6.882000000000001
2021-01-22,6.86
2021-01-23,6.8629999999999995
2021-01-24,6.954
2021-01-25,6.91
2021-01-26,6.891
2021-01-27,6.835
2021-01-28,6.712000000000001
2021-01-29,6.702999999999999
2021-01-30,6.568
2021-01-31,6.439
2021-02-01,6.364
2021-02-02,6.322
2021-02-03,6.331
2021-02-04,6.117000000000001
2021-02-05,6.082000000000001
2021-02-06,5.921
2021-02-07,5.932
2021-02-08,5.871
2021-02-09,5.885
2021-02-10,5.772
2021-02-11,5.7170000000000005
2021-02-12,5.7620000000000005
2021-02-13,5.7589999999999995
2021-02-14,5.67
2021-02-15,5.6979999999999995
2021-02-16,5.707999999999999
2021-02-17,5.579
2021-02-18,5.443
2021-02-19,5.3839999999999995
2021-02-20,5.431
2021-02-21,5.461
2021-02-22,5.452000000000001
2021-02-23,5.3389999999999995
2021-02-24,5.319
2021-02-25,5.254
2021-02-26,5.249
2021-02-27,5.218
2021-02-28,5.254
2021-03-01,5.291
2021-03-02,5.246
2021-03-03,5.172000000000001
2021-03-04,5.067
2021-03-05,5.042
2021-03-06,4.946000000000001
2021-03-07,4.922
2021-03-08,4.88
2021-03-09,4.822
2021-03-10,4.785
2021-03-11,4.684
2021-03-12,4.673
2021-03-13,4.607
2021-03-14,4.53
2021-03-15,4.402
2021-03-16,4.541
2021-03-17,4.542
2021-03-18,4.4830000000000005
2021-03-19,4.3660000000000005
2021-03-20,4.382
2021-03-21,4.258
2021-03-22,4.184
2021-03-23,4.105
2021-03-24,4.077
2021-03-25,3.9960000000000004
2021-03-26,3.8930000000000002
2021-03-27,3.847
2021-03-28,3.7739999999999996
2021-03-29,3.71
2021-03-30,3.7
2021-03-31,3.656
2021-04-01,3.562
2021-04-02,3.49
2021-04-03,3.4139999999999997
2021-04-04,3.3810000000000002
2021-04-05,3.3110000000000004
2021-04-06,3.2260000000000004
2021-04-07,3.134
2021-04-08,3.0860000000000003
2021-04-09,3.042
2021-04-10,2.988
2021-04-11,2.9989999999999997
2021-04-12,2.9189999999999996
2021-04-13,2.911
2021-04-14,2.895
2021-04-15,2.8680000000000003
2021-04-16,2.835
2021-04-17,2.838
2021-04-18,2.6910000000000003
2021-04-19,2.694
2021-04-20,2.733
2021-04-21,2.722
2021-04-22,2.611
2021-04-23,2.5869999999999997
2021-04-24,2.529
2021-04-25,2.5069999999999997
2021-04-26,2.494
2021-04-27,2.436
2021-04-28,2.431
2021-04-29,2.411
2021-04-30,2.397
2021-05-01,2.38
2021-05-02,2.394
2021-05-03,2.385
2021-05-04,2.343
2021-05-05,2.291
2021-05-06,2.205
2021-05-07,2.133
2021-05-08,2.065
2021-05-09,2.031
2021-05-10,1.973
2021-05-11,1.817
2021-05-12,1.755
2021-05-13,1.68
2021-05-14,1.7069999999999999
2021-05-15,1.7280000000000002
2021-05-16,1.735
2021-05-17,1.724
2021-05-18,1.72
2021-05-19,1.726
2021-05-20,1.776
2021-05-21,1.81
2021-05-22,1.8519999999999999
2021-05-23,1.8459999999999999
2021-05-24,1.885
2021-05-25,1.9169999999999998
2021-05-26,2.0140000000000002
2021-05-27,2.149
2021-05-28,2.181
2021-05-29,2.147
2021-05-30,2.156
2021-05-31,2.176
2021-06-01,2.296
2021-06-02,2.396
2021-06-03,2.477
2021-06-04,2.6069999999999998
2021-06-05,2.737
2021-06-06,2.986
2021-06-07,3.234
2021-06-08,3.56
2021-06-09,3.8760000000000003
2021-06-10,4.276
2021-06-11,4.684
2021-06-12,5.115
2021-06-13,5.4510000000000005
2021-06-14,5.752000000000001
2021-06-15,6.117000000000001
2021-06-16,6.62
2021-06-17,7.172999999999999
2021-06-18,7.5760000000000005
2021-06-19,7.919
2021-06-20,8.103
2021-06-21,8.287
2021-06-22,8.498
2021-06-23,8.874
2021-06-24,9.07
2021-06-25,9.271
2021-06-26,9.388
2021-06-27,9.612
2021-06-28,9.787
2021-06-29,9.932
2021-06-30,10.052999999999999
2021-07-01,10.128
2021-07-02,10.22
2021-07-03,10.248
2021-07-04,10.333
2021-07-05,10.511
2021-07-06,10.584000000000001
2021-07-07,10.549000000000001
2021-07-08,10.568
2021-07-09,10.571
2021-07-10,10.616
2021-07-11,10.623
2021-07-12,10.498
2021-07-13,10.427999999999999
2021-07-14,10.404000000000002
2021-07-15,10.394
2021-07-16,10.375
2021-07-17,10.280999999999999
2021-07-18,10.016
2021-07-19,9.942
2021-07-20,9.891
2021-07-21,9.692
2021-07-22,9.302
2021-07-23,9.049
2021-07-24,8.9
2021-07-25,8.632
2021-07-26,8.073
2021-07-27,7.854
2021-07-28,7.551
2021-07-29,7.186
2021-07-30,6.9270000000000005
2021-07-31,6.675
2021-08-01,6.367000000000001
2021-08-02,6.125
2021-08-03,5.619
2021-08-04,5.303999999999999
2021-08-05,5.065
2021-08-06,4.873
2021-08-07,4.409
2021-08-08,4.1160000000000005
2021-08-09,3.907
2021-08-10,3.627
2021-08-11,3.447
2021-08-12,3.303
2021-08-13,2.97
2021-08-14,2.8
2021-08-15,2.641
2021-08-16,2.4290000000000003
2021-08-17,2.347
2021-08-18,2.166
2021-08-19,2.069
2021-08-20,1.974
2021-08-21,1.98
2021-08-22,1.896
2021-08-23,1.755
2021-08-24,1.6780000000000002
2021-08-25,1.632
2021-08-26,1.601
2021-08-27,1.52
2021-08-28,1.4280000000000002
2021-08-29,1.382
2021-08-30,1.324
2021-08-31,1.2009999999999998
2021-09-01,1.2109999999999999
2021-09-02,1.135
2021-09-03,1.107
2021-09-04,1.0979999999999999
2021-09-05,1.03
2021-09-06,1.0170000000000001
2021-09-07,1.033
2021-09-08,981.0
2021-09-09,891.0
2021-09-10,849.0
2021-09-11,806.0
2021-09-12,760.0
2021-09-13,726.0
2021-09-14,736.0
2021-09-15,722.0
2021-09-16,704.0
2021-09-17,690.0
2021-09-18,639.0
2021-09-19,583.0
2021-09-20,553.0
2021-09-21,565.0
2021-09-22,559.0
2021-09-23,534.0
2021-09-24,526.0
2021-09-25,527.0
2021-09-26,522.0
2021-09-27,523.0
2021-09-28,502.0
2021-09-29,478.0
2021-09-30,465.0
2021-10-01,449.0
2021-10-02,435.0
2021-10-03,434.0
2021-10-04,414.0
2021-10-05,425.0
2021-10-06,413.0
2021-10-07,416.0
2021-10-08,413.0
2021-10-09,381.0
2021-10-10,375.0
2021-10-11,379.0
2021-10-12,368.0
2021-10-13,369.0
2021-10-14,389.0
2021-10-15,359.0
2021-10-16,364.0
2021-10-17,362.0
2021-10-18,377.0
2021-10-19,398.0
2021-10-20,376.0
2021-10-21,363.0
2021-10-22,339.0
2021-10-23,332.0
2021-10-24,322.0
2021-10-25,334.0
2021-10-26,343.0
2021-10-27,240.0
2021-10-28,245.0
2021-10-29,238.0
2021-10-30,226.0
2021-10-31,202.0
2021-11-01,207.0
2021-11-02,239.0
2021-11-03,215.0
2021-11-04,224.0
2021-11-05,200.0
2021-11-06,200.0
2021-11-07,203.0
2021-11-08,216.0
2021-11-09,205.0
2021-11-10,195.0
2021-11-11,211.0
2021-11-12,195.0
2021-11-13,185.0
2021-11-14,172.0
2021-11-15,186.0
2021-11-16,183.0
2021-11-17,177.0
2021-11-18,198.0
2021-11-19,195.0
2021-11-20,196.0
2021-11-21,185.0
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-27,
2021-11-28,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-11,
2021-12-12,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-18,
2021-12-19,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-22,
2022-01-23,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-29,
2022-01-30,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-05,
2022-02-06,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-12,
2022-02-13,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-02-26,
2022-02-27,
2022-02-28,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-05,
2022-03-06,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-12,
2022-03-13,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-19,
2022-03-20,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,
2022-03-28,
2022-03-29,
2022-03-30,
2022-03-31,
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,
2022-04-10,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-23,
2022-04-24,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-04-30,
2022-05-01,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,
2022-05-08,
2022-05-09,
2022-05-10,
2022-05-11,
2022-05-12,
2022-05-13,
2022-05-14,
2022-05-15,
2022-05-16,
2022-05-17,
2022-05-18,
2022-05-19,
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,
2022-06-01,
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,
2022-06-06,
2022-06-07,
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,
2022-06-24,
2022-06-25,
2022-06-26,
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,
2022-07-11,
2022-07-12,
2022-07-13,
2022-07-14,
2022-07-15,
2022-07-16,
2022-07-17,
2022-07-18,
2022-07-19,
2022-07-20,
2022-07-21,
2022-07-22,
2022-07-23,
2022-07-24,
2022-07-25,
2022-07-26,
2022-07-27,
2022-07-28,
2022-07-29,
2022-07-30,
2022-07-31,
2022-08-01,
2022-08-02,
2022-08-03,
2022-08-04,
2022-08-05,
2022-08-06,
2022-08-07,
2022-08-08,
2022-08-09,
2022-08-10,
2022-08-11,
2022-08-12,
2022-08-13,
2022-08-14,
2022-08-15,
2022-08-16,
2022-08-17,
2022-08-18,
2022-08-19,
2022-08-20,
2022-08-21,
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,
2022-08-27,
2022-08-28,
2022-08-29,
2022-08-30,
2022-08-31,
2022-09-01,
2022-09-02,
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-10,
2022-09-11,
2022-09-12,
2022-09-13,
2022-09-14,
2022-09-15,
2022-09-16,
2022-09-17,
2022-09-18,
2022-09-19,
2022-09-20,
2022-09-21,
2022-09-22,
2022-09-23,
2022-09-24,
2022-09-25,
2022-09-26,
2022-09-27,
2022-09-28,
2022-09-29,
2022-09-30,
2022-10-01,
2022-10-02,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,
2022-10-08,
2022-10-09,
2022-10-10,
2022-10-11,
2022-10-12,
2022-10-13,
2022-10-14,
2022-10-15,
2022-10-16,
2022-10-17,
2022-10-18,
2022-10-19,
2022-10-20,
2022-10-21,
2022-10-22,
2022-10-23,
2022-10-24,
2022-10-25,
2022-10-26,
2022-10-27,
2022-10-28,
2022-10-29,
2022-10-30,
2022-10-31,
2022-11-01,
2022-11-02,
2022-11-03,
2022-11-04,
2022-11-05,
2022-11-06,
2022-11-07,
2022-11-08,
2022-11-09,
2022-11-10,
2022-11-11,
2022-11-12,
2022-11-13,
2022-11-14,
2022-11-15,
2022-11-16,
2022-11-17,
2022-11-18,
2022-11-19,
2022-11-20,
